episode_length,episode_return,episodes,steps,steps_per_second
30,-4.41876,1,30,15.07780467641688
30,0.6119553,2,60,394.71839689819376
30,6.244766,3,90,374.0895050258502
30,-1.4863263,4,120,361.46990554546915
30,-5.5679493,5,150,389.14938888613983
30,-2.8565452,6,180,383.73650904987727
30,-2.8565311,7,210,379.9027818872391
30,1.0902106,8,240,377.24667662031624
30,-2.175731,9,270,398.94459504446667
30,-1.3478656,10,300,350.1039774071034
30,1.9263692,11,330,346.0789636536161
30,0.9678818,12,360,343.34605802788155
30,-3.0929947,13,390,331.4127082373082
30,-5.419525,14,420,353.109393679177
30,-5.577317,15,450,341.1935757651353
30,-0.7638202,16,480,317.1352528429712
30,-2.406804,17,510,347.77871136072173
30,-2.4576154,18,540,322.57260049220673
30,-1.3869369,19,570,335.3082629828601
30,-1.7261741,20,600,373.526485151454
30,3.102045,21,630,352.92616911292424
30,-0.35062307,22,660,349.3254415528892
30,2.22154,23,690,367.0424334707236
30,-1.8428684,24,720,376.35978608090164
30,-4.1721506,25,750,312.1079276414516
30,0.69283515,26,780,359.0552583144288
30,-0.4911388,27,810,368.4492987028198
30,-1.7486372,28,840,373.0237577151802
30,-1.2246931,29,870,384.88092252164074
30,-0.33274245,30,900,397.113921334095
30,-4.301776,31,930,389.39265090888836
30,-1.2017126,32,960,375.27772475663295
30,0.88128394,33,990,392.16695339965594
30,-2.2723737,34,1020,4.41207226872741
30,-4.988243,35,1050,262.26584434018304
30,-8.112441,36,1080,252.2060315004189
30,-10.170347,37,1110,286.9855924607311
30,-3.6249948,38,1140,248.32374870242384
30,-0.24937105,39,1170,254.29939350090035
30,-0.5670559,40,1200,247.1604147719795
30,-1.9909701,41,1230,276.83164918718774
30,-1.3551719,42,1260,256.5658312195679
30,9.554945,43,1290,244.25297820672841
30,-3.2598083,44,1320,257.70661423612177
30,-3.8181117,45,1350,249.95355674301265
30,-4.440832,46,1380,267.51093819758916
30,-0.7572783,47,1410,255.07626190958848
30,6.0064816,48,1440,263.58272235954587
30,-3.8364341,49,1470,272.6855696465877
30,-9.0018425,50,1500,255.43147372993866
30,8.13903,51,1530,240.36034246287502
30,-2.001194,52,1560,255.96458823242227
30,-1.3251594,53,1590,263.0993796222533
30,19.578886,54,1620,256.76530185387355
30,-1.0190525,55,1650,244.79992529299156
30,-2.0999436,56,1680,259.3858636498565
30,-6.277119,57,1710,277.5797471035146
30,3.4997678,58,1740,245.21879445754487
30,-3.5958102,59,1770,249.8046892060908
30,-8.149867,60,1800,255.40814234592284
30,18.560135,61,1830,266.98646704604766
30,-3.96566,62,1860,230.3596476935498
30,-0.36885664,63,1890,248.34776430185624
30,-1.4722486,64,1920,258.3579791143945
30,0.22430044,65,1950,277.15421009506525
30,-3.8570783,66,1980,245.43163931068784
30,1.3096544,67,2010,256.0260443160315
30,-5.329803,68,2040,253.4174640353333
30,-6.7607174,69,2070,267.13327035146006
30,-7.346995,70,2100,236.21453378137377
30,-4.4870276,71,2130,255.30864297728928
30,-1.9820884,72,2160,255.31019705872805
30,-18.681557,73,2190,279.1550083194675
30,-4.150911,74,2220,243.53441885580796
30,-19.468216,75,2250,253.24456394857387
30,-9.6584835,76,2280,248.04227964730163
30,10.498113,77,2310,287.4852235262938
30,7.704019,78,2340,245.49340950062043
30,14.272569,79,2370,244.63382436712246
30,-6.42504,80,2400,237.59813288820743
30,-8.566133,81,2430,291.95233322196236
30,-2.6780944,82,2460,239.16020595709418
30,-7.4266386,83,2490,257.95386195487055
30,8.905655,84,2520,250.54681433162492
30,-2.030601,85,2550,276.0845439406007
30,1.2166806,86,2580,253.254248272614
30,-4.044096,87,2610,252.0691126536254
30,-0.44290197,88,2640,245.0678747132123
30,-17.346771,89,2670,268.3009477915072
30,-15.817689,90,2700,255.94532418001526
30,-1.131884,91,2730,248.8733472443359
30,-1.7474939,92,2760,260.56378918682736
30,-0.89808863,93,2790,262.8729247141553
30,-2.0616376,94,2820,267.36940072542757
30,-1.1528571,95,2850,246.0998292564146
30,-2.600273,96,2880,251.50381665657287
30,-1.5412625,97,2910,264.64656407150113
30,-3.7637167,98,2940,260.01297697619924
30,-3.1043139,99,2970,244.83993742265395
30,-6.0730925,100,3000,272.5774705552318
